20 20 15 21 20 14 1064.000809 101859.947582 6557806.085249 0.880797
20 20 15 20 21 16 1064.000809 -132728.375731 -5226139.746279 0.419979
20 21 16 20 20 17 1064.000809 -164872.934299 -9891575.814877 0.804873
20 20 17 19 20 18 1064.000809 -92263.220408 -14056465.153259 0.798782
20 20 17 20 21 18 1064.000809 -65797.805587 -14056465.153259 0.914711
20 20 15 21 19 14 1301.767153 100452.970729 8023242.546026 0.198721
21 20 14 21 21 14 750.000000 148505.330756 11180316.258373 0.351685
21 21 14 20 21 13 1064.000809 186328.008931 18478007.155437 0.777310
19 20 18 19 19 18 750.000000 -94556.284843 -16992240.180202 0.281636
21 21 14 22 20 13 1301.767153 126857.835623 20108781.560933 0.559046
20 21 13 19 21 12 1064.000809 224854.440852 26440090.368803 0.486972
22 20 13 22 20 12 754.716981 234964.155085 25756445.881614 0.632601
21 19 14 21 19 13 754.716981 124351.198970 13199640.154319 0.367442
22 20 13 22 19 12 1064.000809 118687.468598 28070864.774300 0.517407
22 19 12 22 19 11 754.716981 256932.415817 34232700.609319 0.955479
22 19 11 22 18 11 750.000000 188913.061980 40356024.970370 0.921411
19 21 12 19 22 11 1064.000809 195480.487359 35127053.134256 0.643956
22 19 12 22 20 11 1064.000809 117342.068641 36757827.539753 0.718826
20 20 17 20 19 17 750.000000 -176406.786524 -13180179.565704 0.144893
22 19 11 21 20 10 1301.767153 168444.394753 45828496.405814 0.609861
20 20 15 21 20 16 1064.000809 -104702.822169 -5226139.746279 0.020713
19 20 18 20 21 17 1301.767153 -60122.264072 -19764460.277655 0.243197
19 20 18 18 20 19 1064.000809 -90214.751425 -17774510.571934 0.141093
21 20 10 21 21 9 1064.000809 165445.671253 56169208.715063 0.807146
19 20 18 19 20 19 754.716981 -85641.870165 -16693748.875498 0.159481
22 19 11 21 18 10 1301.767153 130557.406015 45828496.405814 0.403115
19 20 18 18 19 18 1060.660172 -76015.959831 -18208278.012438 0.130284
20 20 17 21 20 18 1064.000809 -127277.883811 -14056465.153259 0.109579
21 20 18 22 21 19 1301.767153 -73306.200280 -18605361.507220 1.000000
19 19 18 19 20 17 1064.000809 -66244.737557 -21657676.248799 0.219614
21 20 10 20 21 9 1301.767153 107877.975538 58479990.194629 0.513514
21 20 18 22 19 19 1301.767153 -66354.281387 -18605361.507220 0.841364
21 21 9 21 20 9 750.000000 105331.067260 63458239.105024 0.613155
19 22 11 18 22 10 1064.000809 155317.755746 44604889.532860 0.298563
21 18 10 20 19 10 1060.660172 133917.790057 55276575.295756 0.640568
18 20 19 18 20 18 754.716981 -63978.709143 -20728749.592757 0.524948
18 20 19 17 19 20 1301.767153 -40860.493031 -21832939.296241 0.493629
18 20 18 18 21 18 750.000000 -86920.818099 -23664524.619700 0.977939
19 22 11 20 22 10 1064.000809 123352.599123 44604889.532860 0.292820
19 20 17 19 21 17 750.000000 -77197.335397 -24946279.999627 0.773712
21 18 10 20 18 9 1064.000809 108857.893124 56169208.715063 0.527460
22 19 19 21 18 19 1060.660172 -72759.682472 -22311733.399987 0.773258
21 20 16 22 20 16 750.000000 -88882.009235 -8909976.052094 0.400379
21 18 19 20 17 18 1301.767153 -54369.503710 -27407327.399688 0.892513
20 19 17 19 18 17 1060.660172 -71328.093817 -17830967.591396 0.284952
21 20 16 21 20 17 754.716981 -88978.004662 -8535426.539564 0.359489
19 21 17 18 21 17 750.000000 -55761.537728 -28234883.750455 0.809125
19 18 17 19 18 18 754.716981 -53462.433038 -20785206.612219 0.920995
20 21 18 19 21 18 750.000000 -52954.570060 -16992240.180202 0.070311
21 20 17 22 21 17 1060.660172 -75584.948624 -13186214.565256 0.951357
22 21 19 22 21 18 754.716981 -58684.810752 -21559600.528043 0.530815
20 21 18 20 22 18 750.000000 -90114.622876 -16992240.180202 0.089853
19 22 11 19 21 10 1064.000809 113292.534228 44604889.532860 0.198990
20 18 9 19 17 10 1301.767153 95226.415644 67765004.511558 0.664191
20 22 18 20 22 17 754.716981 -65470.983822 -20301526.973487 0.896591
21 18 10 21 17 10 750.000000 110287.120399 52509297.058077 0.354103
20 21 18 21 21 18 750.000000 -53636.791315 -16992240.180202 0.066920
20 20 17 21 19 17 1060.660172 -60341.243375 -14542363.840568 0.023039
22 19 19 23 19 19 750.000000 -49143.141563 -21226162.206194 0.463342
19 19 18 20 19 18 750.000000 -61799.825084 -19928015.207144 0.072099
21 20 10 22 21 10 1060.660172 99919.960375 55276575.295756 0.239526
20 19 18 21 19 18 750.000000 -45575.232661 -22863790.234087 0.974611
21 19 17 21 18 17 750.000000 -70149.257779 -17830967.591396 0.913458
19 17 10 18 17 10 750.000000 104306.847500 74445805.163821 0.858001
22 21 19 22 21 20 754.716981 -41812.030893 -20958290.037491 0.273176
21 20 17 22 19 17 1060.660172 -48729.842244 -13186214.565256 0.542091
18 22 10 18 22 9 754.716981 108111.401179 51939762.881249 0.376040
19 21 10 18 20 10 1060.660172 114866.745350 54052968.422802 0.780213
19 21 18 18 22 18 1060.660172 -44532.415173 -21144053.039380 0.516213
20 22 18 20 23 19 1064.000809 -43981.690744 -20710285.598877 0.674972
20 22 10 21 22 10 750.000000 107332.263562 51285690.185124 0.537102
20 21 18 20 21 19 754.716981 -47757.398888 -16693748.875498 0.046882
17 19 20 17 19 21 754.716981 -33539.188184 -23923415.458140 0.442155
21 22 10 21 23 10 750.000000 103094.996400 57966490.837387 0.963275
20 23 19 21 23 19 750.000000 -40569.848343 -23331086.297851 0.938161
22 21 10 23 21 10 750.000000 98657.440278 61957375.948019 0.723828
22 21 19 22 22 19 750.000000 -37556.357393 -21226162.206194 0.284615
18 20 10 17 20 10 750.000000 112129.857480 60733769.075066 0.819392
20 22 18 21 22 18 750.000000 -44110.486291 -19928015.207144 0.642818
21 20 18 21 20 19 754.716981 -40404.942579 -16693748.875498 0.360346
20 22 17 19 22 17 750.000000 -47234.125474 -23590130.724315 0.694278
20 19 17 20 19 16 754.716981 -51267.489040 -16887184.653317 0.166641
20 19 10 19 19 10 750.000000 98583.785953 61957375.948019 0.450697
17 19 21 17 18 21 750.000000 -30408.502332 -26000826.144027 0.892411
22 21 20 22 21 21 754.716981 -30955.771406 -23048766.199390 0.836462
18 19 18 18 19 17 754.716981 -60693.488248 -21517564.805723 0.447224
18 20 19 17 20 19 750.000000 -36829.509006 -20395311.270909 0.236216
